asset_type,name,artist,art_date,structure,latitude,longitude,clue_area
Fountain,River God Fountain,Charles Summers,1862,Stone and cement fountain,-37.8104167138709,144.980882423414,Southbank
Art,Reynold's Reserve Drinking Fountain,unknown,c. 1935,Red-granite and brick drinking fountain,-37.7836612081103,144.960004054347,Parkville
Monument,James C. Roberts,unknown,unknown,Granite obelisk,-37.7891381500076,144.957053809565,Parkville
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.8150889597275,144.941472613193,Docklands
Art,The Genie,Sculptor Tom Bass; founder F.J. & I. Lemon,1973,Bronze sculpture,-37.8214877401729,144.971194700662,Southbank
Art,Birrarung Wilam,"Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185907034456,144.971834942502,Melbourne (CBD)
Art,Threaded Field,Simon Perry,1999,Sculpture,-37.8179724438437,144.947887016093,Docklands
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201325090472,144.959336879083,Southbank
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200555636082,144.959698879153,Southbank
Art,Temple of the Winds,Thomas Jones & Co,1873,Masonry and bluestone rotunda,-37.8128096374869,144.981735857931,Southbank
Art,Birrarung Wilam,"Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185914278651,144.971866175309,Melbourne (CBD)
Monument,Lady Janet Clarke Memorial,Herbert Black,1913,Concrete and stamped copper rotunda,-37.8223354912272,144.971835332477,Southbank
Fountain,French Fountain,unknown,c. 1880,Bronze fountain with granite plinth,-37.8049009757854,144.972849834667,Melbourne (CBD)
Art,IOU,Mikala Dwyer,2005,Stainless steel and toughened glass,-37.8201338075104,144.947948917363,Other
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201043033663,144.959426584028,Southbank
Fountain,Walker Fountain,"Mobelt, Digregorio & Associates",1981,Concrete fountain,-37.8235489328706,144.970827540478,Southbank
Art,The Travellers,Artist Nadim Karam; manufacturer Arup Engineering,2005,Stainless-steel tubing and glass panel installation,-37.8206998343058,144.962209921997,Southbank
Fountain,Macpherson Robertson Fountain,Designer Philip Hudson; sculptor Paul Montford,1934,"Granite, bronze and concrete fountain",-37.8323774569183,144.972934293353,Other
