description,latitude,longitude,clue_area
Stainless Steel Drinking Fountain - Leaf Type,-37.816008130348806,144.94552203541383,Docklands
Stainless Steel Drinking Fountain - Leaf Type - Neill Street Reserve,-37.795594738274296,144.9691367333386,Parkville
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81437201868546,144.96613327636365,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.81607983975034,144.93862697161046,Docklands
Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.81367564418339,144.98268520584864,Southbank
Stainless Steel Drinking Fountain - Old Docklands Type,-37.82087279535316,144.94185586107258,Other
Leaf Type - Dog Bowl  - Flagstaff Gardens,-37.81010993947886,144.95363625566395,Melbourne (CBD)
Drinking fountain - Historic or Heritage fountains - University Square,-37.8020146095429,144.9605723948678,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Royal Park,-37.77732383776788,144.9531895231545,Other
Leaf Type - With Bottle Refill Tap - Queen Victoria Gardens,-37.82168006484173,144.9700370336942,Southbank
Stainless Steel Drinking Fountain - Leaf Type - Boyd Community Hub,-37.82605853691661,144.9615312833258,Southbank
Stainless Steel Drinking Fountain - Leaf Type - Hub@Docklands,-37.81973451807136,144.9475652363716,Docklands
Leaf Type - With Bottle Refill Tap - Princes Park,-37.78866797179563,144.96246173875772,Parkville
Leaf Type - With Bottle Refill Tap - Royal Park,-37.79148137934659,144.95640337310826,Parkville
Treated Timber Drinking Fountain - Carlton Gardens South,-37.80719483579952,144.97264821832775,Melbourne (CBD)
Ornamental Drinking Fountain - Errol St North Melbourne,-37.80333644461803,144.94973046402842,North Melbourne
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.8200996090771,144.96520412105647,Southbank
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81191194838843,144.97076931535327,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81655981940826,144.958479412123,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.807152962975586,144.95128617901676,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.814022713257685,144.96377589639772,Melbourne (CBD)
Leaf Type - With Bottle Refill Tap - Carlton Gardens North,-37.80154324073521,144.97074694104214,Melbourne (CBD)
Stainless Steel Drinking Fountain - Old Docklands Type,-37.82016422388396,144.9419807414183,Other
Leaf Type - Dog Bowl  - New Quay Central Park,-37.81472791168905,144.93868934270515,Docklands
Stainless Steel Drinking Fountain - Leaf Type,-37.818393312901414,144.94467796351668,Docklands
Stainless Steel Drinking Fountain - Leaf Type - Princes Park,-37.787145044550506,144.95944649397603,Parkville
Drinking fountain - unspecified type - Fawkner Park,-37.84105383065132,144.98474159117376,South Yarra
Stainless Steel Drinking Fountain - Leaf Type,-37.82006369883412,144.94335006764553,Other
Stainless Steel Drinking Fountain - Leaf Type,-37.82416129460037,144.94386411864073,Other
Leaf Type - Dog Bowl  - Fitzroy Gardens,-37.81047413141583,144.98106657764444,Southbank
Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.81426414724787,144.97865144245154,Melbourne (CBD)
Leaf Type - With Bottle Refill Tap - Birrarung Marr,-37.81877097793573,144.97408155357158,Melbourne (CBD)
Drinking Fountain - Monument Style Type 3,-37.808763201408944,144.9755999159518,Melbourne (CBD)
