name,artist,art_date,address,category,latitude,longitude
River God Fountain,Charles Summers,1862,"304 Albert Street, EAST MELBOURNE",Fountain,-37.8104167138709,144.980882423414
Reynold's Reserve Drinking Fountain,unknown,c. 1935,"Princes Park, Royal Parade, CARLTON NORTH",Art,-37.7836612081103,144.960004054347
James C. Roberts,unknown,unknown,"4 The Avenue, PARKVILLE",Monument,-37.7891381500076,144.957053809565
Silence,Adrian Mauriks,2003,"55B Newquay Promenade, DOCKLANDS",Art,-37.8150889597275,144.941472613193
The Genie,Sculptor Tom Bass; founder F.J. & I. Lemon,1973,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Art,-37.8214877401729,144.971194700662
Birrarung Wilam,"Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Birrarung Marr, MELBOURNE",Art,-37.8185907034456,144.971834942502
Threaded Field,Simon Perry,1999,"750 Bourke Street, DOCKLANDS",Art,-37.8179724438437,144.947887016093
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8201325090472,144.959336879083
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8200555636082,144.959698879153
Temple of the Winds,Thomas Jones & Co,1873,"116 Clarendon Street, EAST MELBOURNE",Art,-37.8128096374869,144.981735857931
Birrarung Wilam,"Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Birrarung Marr, MELBOURNE",Art,-37.8185914278651,144.971866175309
Lady Janet Clarke Memorial,Herbert Black,1913,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Monument,-37.8223354912272,144.971835332477
French Fountain,unknown,c. 1880,"9 Nicholson Street, CARLTON",Fountain,-37.8049009757854,144.972849834667
IOU,Mikala Dwyer,2005,"7 Waterview Walk, DOCKLANDS",Art,-37.8201338075104,144.947948917363
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8201043033663,144.959426584028
Walker Fountain,"Mobelt, Digregorio & Associates",1981,"210 St Kilda Road, SOUTHBANK",Fountain,-37.8235489328706,144.970827540478
The Travellers,Artist Nadim Karam; manufacturer Arup Engineering,2005,"Sandridge Bridge, SOUTHBANK",Art,-37.8206998343058,144.962209921997
Macpherson Robertson Fountain,Designer Philip Hudson; sculptor Paul Montford,1934,"2 Domain Road, MELBOURNE",Fountain,-37.8323774569183,144.972934293353
