trading_name,business_address,num_patrons,longitude,latitude,clue_area,capacity_category,census_year
Chef David,"Shop 102, Level 1 458 Elizabeth Street MELBOURNE VIC 3000",189,144.96062400307895,-37.80783716475,Melbourne (CBD),Large (150+),2023
Leonie Upstairs,"Level 1,15-17 Lincoln Square South CARLTON VIC 3053",62,144.9628566728,-37.80337041860672,Carlton,Medium (50-149),2023
University House Club,University House Building 112 230 Grattan Street PARKVILLE VIC 3010,611,144.96120873245002,-37.79677209594333,Parkville,Large (150+),2023
Shadow Play By Peppers,107 Clarendon Street SOUTHBANK VIC 3006,50,144.9582569877917,-37.8271311269,Southbank,Medium (50-149),2023
Waterslide Bar,"Restaurant 3, Mid Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",200,144.96630308550658,-37.8207182429,Southbank,Large (150+),2023
The Quiet Man Irishman Pub,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,400,144.93236542065733,-37.788610998349995,Kensington,Large (150+),2023
Bonehead Brewing,86-90 Parsons Street KENSINGTON VIC 3031,80,144.93519168685492,-37.79045306345,Kensington,Medium (50-149),2023
United Kingdom Settlers Association,"Front Floor 1, 146W Toorak Road SOUTH YARRA 3141",100,144.9843804943388,-37.83764654440955,South Yarra,Medium (50-149),2005
Hard Rock Cafe,1 Spring Street MELBOURNE 3000,500,144.9729329718854,-37.811995901555065,Melbourne (CBD),Large (150+),2007
Rydges Melbourne Hotel,"Part Ground , 174-192 Exhibition Street MELBOURNE 3000",100,144.97059788796204,-37.8112189809,Melbourne (CBD),Medium (50-149),2010
Rathdowne Tavern,184 Rathdowne Street CARLTON 3053,140,144.97123033445,-37.79476565983802,Carlton,Medium (50-149),2011
The Oasis Oz Hotel,175-191 Dryburgh Street NORTH MELBOURNE 3051,390,144.94336001515,-37.80205377559464,North Melbourne,Large (150+),2011
24 Moons,"Rear Level 2, 108-112 Flinders Street MELBOURNE 3000",195,144.97115550425,-37.81600505948468,Melbourne (CBD),Large (150+),2012
Massoni Wine Bar,"Shop 5, Ground , 90 Collins Street MELBOURNE 3000",112,144.9702869013,-37.814017675275906,Melbourne (CBD),Medium (50-149),2014
Levels Nightclub,"Level 1, 137-141 Bourke Street MELBOURNE 3000",400,144.969167321,-37.81279275577653,Melbourne (CBD),Large (150+),2014
Turf Club Hotel,1-3 Flemington Road NORTH MELBOURNE 3051,629,144.95639469877318,-37.801283117249994,North Melbourne,Large (150+),2017
RMIT Village Melbourne,5-17 Flemington Road NORTH MELBOURNE 3051,356,144.9558469108,-37.801435967312926,North Melbourne,Large (150+),2017
Alumbra,"Shed 9, Part  Harbour Esplanade DOCKLANDS 3008",690,144.9436688253851,-37.81648918185,Docklands,Large (150+),2019
Indu & Mejico,86A Collins Street MELBOURNE VIC 3000,290,144.97058439059998,-37.81393676506883,Melbourne (CBD),Large (150+),2021
Beer De Luxe,"Tenancy 17 & 23, Lvls 1-2 Atrium Federation Square 2 Swanston Street MELBOURNE VIC 3000",1000,144.96994164279243,-37.817777826050005,Melbourne (CBD),Large (150+),2023
Clique Bar,Level 1 26 King Street MELBOURNE VIC 3000,222,144.95746565053372,-37.81952905265,Melbourne (CBD),Large (150+),2023
Miranda Tequila Bar,"Unit 1, Basement 313-315 Flinders Lane MELBOURNE VIC 3000",100,144.96385087395,-37.81763997994896,Melbourne (CBD),Medium (50-149),2023
The Adelphi Hotel,Gnd-Lvl 7 187 Flinders Lane MELBOURNE VIC 3000,80,144.9683751885,-37.81635841773196,Melbourne (CBD),Medium (50-149),2023
Father's Office Downtown,"Unit 1, Gnd & Bmt 121 Flinders Lane MELBOURNE VIC 3000",350,144.97051356175,-37.81567232104298,Melbourne (CBD),Large (150+),2023
GoGo Bar,Basement 125 Flinders Lane MELBOURNE VIC 3000,300,144.97039992735,-37.81568919693426,Melbourne (CBD),Large (150+),2023
Lustre Bar,4A Centre Place MELBOURNE VIC 3000,85,144.96559654045,-37.81660289619204,Melbourne (CBD),Medium (50-149),2023
MELBOURNE SAVAGE CLUB,The Melbourne Savage Club 12-16 Bank Place MELBOURNE VIC 3000,90,144.9605773490057,-37.81654512525,Melbourne (CBD),Medium (50-149),2023
Marrakech Bar,LwrGround 25 Bank Place MELBOURNE VIC 3000,200,144.96009729851846,-37.816395712,Melbourne (CBD),Large (150+),2023
The Australian Club Inc,98-110 William Street MELBOURNE VIC 3000,280,144.95912288463865,-37.816746354550006,Melbourne (CBD),Large (150+),2023
The George on Collins,"Shop B1, Basement 162 Collins Street MELBOURNE VIC 3000",620,144.96784765085,-37.814502920035494,Melbourne (CBD),Large (150+),2023
Bourke Street Green,Courtyard Ground 501 Bourke Street MELBOURNE VIC 3000,100,144.9595844372,-37.81588561749844,Melbourne (CBD),Medium (50-149),2023
The Dove Club,Level 2 318-322 Little Collins Street MELBOURNE VIC 3000,380,144.96400961705,-37.814886608596126,Melbourne (CBD),Large (150+),2023
Lychee Entertainment,Level 1-2 215 Bourke Street MELBOURNE VIC 3000,150,144.9672985356574,-37.8132801326,Melbourne (CBD),Large (150+),2023
Showgirls Bar 20,193-195 King Street MELBOURNE VIC 3000,285,144.95508140553954,-37.8156958826,Melbourne (CBD),Large (150+),2023
La Di Da,188-200 King Street MELBOURNE VIC 3000,458,144.9556241679,-37.81551358122934,Melbourne (CBD),Large (150+),2023
Holey Moley Golf Club,590-592 Little Bourke Street MELBOURNE VIC 3000,700,144.95469881445,-37.81533849869275,Melbourne (CBD),Large (150+),2023
Exford Hotel,199-203 Russell Street MELBOURNE VIC 3000,300,144.96734080898327,-37.81179187755,Melbourne (CBD),Large (150+),2023
Goldilocks,Rooftop 264 Swanston Street MELBOURNE VIC 3000,60,144.96514740335823,-37.81181061845,Melbourne (CBD),Medium (50-149),2023
Golden Nugget,Ground 117 Lonsdale Street MELBOURNE VIC 3000,250,144.9689026007,-37.81079279084446,Melbourne (CBD),Large (150+),2023
Heartbreaker,234A Russell Street MELBOURNE VIC 3000,166,144.96764384655324,-37.8109824535,Melbourne (CBD),Large (150+),2023
Strike Bowling,245-247 Little Lonsdale Street MELBOURNE VIC 3000,370,144.965725053002,-37.81067861705,Melbourne (CBD),Large (150+),2023
Strike Bowling Melbourne Central / Strike Escape Rooms Melbourne Central,"Shop 305, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",760,144.96283887063584,-37.8109017475,Melbourne (CBD),Large (150+),2023
Bornga,Level 1 258 Lonsdale Street MELBOURNE VIC 3000,40,144.9643588506305,-37.81143183285,Melbourne (CBD),Small (< 50),2023
